Condition,Participant ID,Approp.,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Raw Score,SUS Score,Grade,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS Score,Gender,Age,proctor
Polite,1,2,5,1,4,2,3,2,5,2,3,1,32,80,A-,1,1,1,1,1,1,1,1,1,1,0,Prefer not to say,,Team
Polite,2,4,2,2,2,2,2,2,2,2,2,2,20,50,F,5,5,5,5,5,5,5,5,5,5,0,Prefer not to say,,Team
Polite,3,4,5,5,5,5,5,5,5,5,5,5,20,50,F,5,5,5,5,5,5,5,5,5,5,0,Prefer not to say,,Team
Polite,4,4,3,1,5,1,5,1,5,2,4,1,36,90,A+,1,5,5,1,2,1,4,1,1,2,13,Male,21,Team
Polite,5,4,2,1,5,2,4,2,4,2,3,2,29,72.5,C+,1,2,2,1,1,3,3,3,3,2,-1,Male,20,Team
Polite,6,5,2,2,5,1,5,2,5,1,5,1,35,87.5,A+,2,4,4,1,3,4,5,3,2,3,7,Female,19,Team
Polite,7,4,2,3,4,1,3,2,5,1,3,2,28,70,C,1,4,4,1,1,2,1,3,1,1,3,Female,21,Kateryna Dzhyndzhyrysta
Polite,8,4,2,2,4,1,5,4,4,4,3,1,26,65,C,4,2,2,3,2,4,5,2,4,5,-1,Male,20,Team
Polite,9,2,1,1,4,1,2,4,5,1,2,1,26,65,C,1,1,1,1,1,3,2,4,3,1,-6,Male,22,Team
Polite,10,5,2,3,5,1,4,2,5,2,2,1,29,72.5,C+,1,5,3,1,2,1,3,2,2,1,7,Male,22,Kateryna Dzhyndzhyrysta
Polite,11,4,3,2,5,2,4,2,5,2,5,1,33,82.5,A,1,4,4,1,2,1,4,1,1,3,12,Female,21,Team
Polite,12,2,2,3,4,1,2,2,5,4,3,1,25,62.5,D,1,5,2,1,3,1,2,1,2,1,7,Male,19,Jay
Polite,13,5,3,1,5,1,4,2,5,2,3,1,33,82.5,A,1,4,4,1,4,1,5,1,1,3,15,Male,20,Jay
Polite,14,5,4,2,5,1,3,3,4,3,2,1,28,70,C,1,5,5,1,4,1,4,1,1,3,16,Male,20,Jessica Sokol
Polite,15,4,2,1,5,1,4,2,5,2,5,1,34,85,A+,1,5,4,1,1,1,1,1,1,1,7,Female,19,Jessica
Polite,16,5,5,1,5,1,5,1,5,1,5,1,40,100,A+,1,4,5,1,2,1,3,1,1,4,13,Female,20,Gigi
Polite,17,5,4,2,4,1,4,1,4,1,4,1,34,85,A+,1,5,4,1,1,1,3,2,1,1,8,Male,19,Jehane
Polite,18,5,4,1,5,1,4,1,5,1,4,1,37,92.5,A+,1,5,5,1,3,1,5,1,1,3,16,Male,20,team
Polite,19,4,4,2,5,2,4,1,4,1,5,1,35,87.5,A+,1,5,5,1,3,1,5,1,1,5,18,Male,19,Team
Rude,20,5,1,5,1,5,1,5,1,1,2,1,21,52.5,D,1,2,1,1,3,1,4,1,2,3,7,Female,20,Team
Rude,21,3,1,2,2,4,4,2,2,1,2,2,25,62.5,D,1,2,2,1,6,1,1,6,1,1,2,Female,19,Team
Rude,22,4,1,4,3,4,2,2,1,1,3,3,24,60,D,1,3,3,1,1,6,6,3,1,1,2,Male,22,Jessica Sokal
Rude,23,4,1,2,4,4,2,3,1,1,2,1,19,47.5,F,1,2,1,1,2,3,6,3,2,1,2,Female,20,team
Rude,24,5,2,2,4,2,4,1,1,1,1,1,34,85,A+,1,1,1,1,1,6,1,3,6,1,-12,Male,19,Team
Rude,25,5,1,4,3,4,2,5,1,6,3,3,25,62.5,D,6,3,3,1,6,1,2,1,1,6,10,Male,22,Team
Rude,26,3,1,4,3,2,3,4,1,6,6,2,31,77.5,B+,6,6,2,2,4,4,4,4,1,6,5,Female,22,Team
Rude,27,5,1,4,1,4,2,4,2,6,6,6,36,90,A+,6,6,6,4,1,6,3,2,6,4,-4,Male,20,Jay
Rude,28,4,1,4,1,5,1,3,1,6,2,2,34,85,A+,6,2,2,1,6,1,2,1,6,1,-2,Female,20,Jessica Sokal
Rude,29,5,1,5,1,5,1,5,1,1,3,3,33,82.5,A,1,3,3,1,6,1,2,1,1,6,15,Male,19,Jessica
Rude,30,4,1,3,1,4,1,3,1,6,3,3,36,90,A+,6,3,3,1,1,1,2,1,1,6,5,Female,20,Jehane
Rude,31,5,1,3,2,5,1,4,1,6,2,2,19,47.5,F,6,2,2,6,4,6,3,2,2,1,-10,Female,19,jehane ali
Rude,32,3,2,4,2,4,3,1,2,2,6,1,25,62.5,D,2,6,1,6,1,6,6,6,2,1,-7,Male,20,Jehane
Rude,33,4,2,4,3,4,2,4,2,2,4,3,31,77.5,B+,2,4,3,1,6,1,3,6,6,3,3,Male,19,Jay
Rude,34,5,2,4,2,4,2,4,1,2,1,1,32,80,A-,2,1,1,1,6,2,6,2,1,1,7,Female,20,Jessica Sokal
Rude,35,4,1,5,3,4,2,4,1,6,4,4,29,72.5,C+,6,4,4,1,1,1,3,6,1,2,-1,Male,19,Jay
Rude,36,5,1,4,2,4,2,3,1,1,2,3,32,80,A-,1,2,3,1,1,1,3,3,2,6,7,Male,19,team
Rude,37,5,2,3,2,5,1,5,1,6,6,6,29,72.5,C+,6,6,6,1,3,1,4,6,2,2,5,Male,19,team
Rude,38,5,1,4,2,4,1,4,1,3,6,1,20,50,F,3,6,1,3,1,2,6,3,3,1,1,Male,20,Team